A_NUMBER,B_NUMBER,CALL_START_DT,CALL_START_TM,CALL_ACTUAL_DURATION,TARGET_AREA
10,148,21JUL2010,14:06:22,31,HOME_NET
193,196,28JUL2010,13:31:31,56,HOME_NET
2,198,19JUL2010,22:42:31,5,HOME_NET
199,165,09JUL2010,18:06:55,3,HOME_NET
94,65,08JUL2010,14:19:00,6,HOME_NET
17,51,08JUL2010,11:54:12,16,OTHER_NET
47,122,28JUL2010,14:33:06,141,OTHER_NET
87,166,20JUL2010,15:31:02,3,HOME_NET
75,192,12JUL2010,22:54:45,127,HOME_NET
1,104,01JUL2010,8:08:06,1119,HOME_NET
190,118,08JUL2010,21:46:16,70,HOME_NET
146,185,20JUL2010,18:24:43,40,OTHER_NET
36,121,17JUL2010,15:18:33,81,HOME_NET
115,85,13JUL2010,15:41:06,70,HOME_NET
162,197,17JUL2010,18:29:13,76,HOME_NET
99,11,03JUL2010,12:21:19,3,HOME_NET
64,97,25JUL2010,13:24:14,76,HOME_NET
153,50,09JUL2010,10:30:30,37,HOME_NET
105,134,20JUL2010,23:37:30,60,HOME_NET
131,20,07JUL2010,22:43:18,8,HOME_NET
191,84,18JUL2010,18:17:02,2,HOME_NET
43,136,31JUL2010,16:28:57,2,HOME_NET
67,19,30JUL2010,22:54:32,5,OTHER_NET
183,164,16JUL2010,15:58:36,33,HOME_NET
26,83,26JUL2010,15:14:17,6,HOME_NET
106,44,03JUL2010,17:04:54,50,HOME_NET
127,142,15JUL2010,21:19:20,8,OTHER_NET
34,144,29JUL2010,12:32:53,39,OTHER_NET
90,195,24JUL2010,15:09:52,547,HOME_NET
61,38,05JUL2010,12:14:25,103,HOME_NET
149,125,31JUL2010,22:12:45,741,OTHER_NET
81,8,10JUL2010,12:39:46,1,OTHER_NET
110,150,01JUL2010,22:31:49,102,HOME_NET
55,161,18JUL2010,14:49:29,138,OTHER_NET
156,116,14JUL2010,16:32:53,7,OTHER_NET
200,108,03JUL2010,18:00:02,10,OTHER_NET
42,54,22JUL2010,17:05:59,90,HOME_NET
80,138,11JUL2010,12:15:18,9,HOME_NET
74,6,17JUL2010,11:44:30,35,OTHER_NET
181,25,14JUL2010,16:26:40,88,HOME_NET
32,92,17JUL2010,13:28:04,45,HOME_NET
4,176,09JUL2010,19:58:33,27,HOME_NET
63,48,03JUL2010,14:35:21,32,HOME_NET
72,68,28JUL2010,15:00:56,81,OTHER_NET
194,112,25JUL2010,10:47:27,2,HOME_NET
31,109,07JUL2010,18:05:21,1552,HOME_NET
103,29,16JUL2010,12:37:12,29,OTHER_NET
126,7,06JUL2010,20:54:36,2,HOME_NET
155,154,14JUL2010,20:13:27,7,HOME_NET
184,111,31JUL2010,19:41:25,222,HOME_NET
56,89,23JUL2010,20:26:15,28,HOME_NET
124,188,02JUL2010,8:29:29,3,HOME_NET
102,101,03JUL2010,12:13:53,111,HOME_NET
12,129,13JUL2010,8:53:15,37,HOME_NET
179,158,19JUL2010,1:51:02,18,HOME_NET
100,137,30JUL2010,11:04:22,401,HOME_NET
171,73,23JUL2010,10:49:05,1,OTHER_NET
128,130,02JUL2010,22:02:05,250,HOME_NET
41,15,27JUL2010,18:14:27,116,OTHER_NET
95,141,04JUL2010,17:14:31,2,HOME_NET
70,173,01JUL2010,18:10:16,83,HOME_NET
145,159,25JUL2010,9:50:17,10,HOME_NET
98,28,08JUL2010,14:38:20,4,OTHER_NET
178,37,26JUL2010,15:54:17,51,OTHER_NET
186,69,16JUL2010,11:19:50,147,HOME_NET
123,77,20JUL2010,17:44:28,104,OTHER_NET
152,40,21JUL2010,12:17:57,168,HOME_NET
5,35,10JUL2010,23:55:44,39,OTHER_NET
46,169,19JUL2010,16:07:18,32,HOME_NET
143,59,31JUL2010,13:16:22,2,HOME_NET
133,163,18JUL2010,8:49:20,9,HOME_NET
175,60,02JUL2010,15:25:36,31,HOME_NET
172,182,26JUL2010,21:57:58,10,HOME_NET
16,167,11JUL2010,11:20:03,3,OTHER_NET
113,160,29JUL2010,15:42:06,7,OTHER_NET
91,119,18JUL2010,12:10:41,557,OTHER_NET
151,132,04JUL2010,19:13:49,65,OTHER_NET
21,170,03JUL2010,9:45:40,29,HOME_NET
147,139,03JUL2010,16:45:34,154,HOME_NET
157,189,23JUL2010,18:57:15,45,HOME_NET
187,66,05JUL2010,9:59:58,1,OTHER_NET
107,78,20JUL2010,12:01:52,35,HOME_NET
30,140,19JUL2010,17:39:38,322,HOME_NET
117,13,10JUL2010,21:17:33,49,OTHER_NET
9,177,28JUL2010,11:40:46,19,HOME_NET
45,120,02JUL2010,18:31:58,4,OTHER_NET
27,86,06JUL2010,17:23:40,133,HOME_NET
23,174,23JUL2010,14:53:27,31,OTHER_NET
96,33,30JUL2010,20:00:02,72,HOME_NET
53,58,11JUL2010,23:56:27,8,OTHER_NET
22,3,10JUL2010,16:42:31,3,HOME_NET
57,93,07JUL2010,17:16:31,77,HOME_NET
52,88,16JUL2010,21:14:02,168,OTHER_NET
18,14,18JUL2010,10:26:59,101,HOME_NET
62,180,27JUL2010,17:32:33,170,HOME_NET
49,39,29JUL2010,20:11:34,19,HOME_NET
114,79,28JUL2010,11:34:41,223,OTHER_NET
76,82,22JUL2010,19:19:52,62,OTHER_NET
168,71,05JUL2010,7:13:17,10,OTHER_NET
135,24,18JUL2010,12:58:50,68,HOME_NET
